f(Hz),vipp(mV),vopp(V),Av
50,108,2.4,22.222222
61,108,2.56,23.703704
62,108,2.56,23.703704
63,108,2.64,24.444444
64,108,2.64,24.444444
65,108,2.64,24.444444
70,108,2.72,25.185185
75,108,2.8,25.925926
100,108,3.12,28.888889
250,108,3.52,32.592593
500,108,3.68,34.074074
1000,108,3.68,34.074074
10000,108,3.68,34.074074
100000,108,3.76,34.814815
500000,114,3.28,28.771930
900000,112,2.72,24.285714
925000,112,2.72,24.285714
950000,112,2.64,23.571429
975000,112,2.64,23.571429
1e+06,112,2.64,23.571429
